codigoTabelaReferencia,nome_marca_carro,valor_marca_carro,nome_carro,valor_carro,nome_ano_carro,valor_ano_carro,codigo_fipe,nome_marca_carro_final,nome_carro_modelo,valor_carro_fipe,ano_modelo_carro,combustivel,mes_referencia,data_consulta,tipo_veiculo,sigla_combustivel
266,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 68.493,00",32000,Gasolina,março de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
266,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 60.817,00",32000,Gasolina,março de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
266,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 86.922,00",32000,Gasolina,março de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
266,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 211.001,00",32000,Gasolina,março de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
266,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
267,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 53.473,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
267,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 69.941,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
267,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 61.381,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
267,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 87.727,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:37",1,G
267,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 209.313,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
267,Toyota,56,Corolla Cross SE 1.8 16V Aut. (Híbrido),9324,32000 Gasolina,32000-1,002202-0,Toyota,Corolla Cross SE 1.8 16V Aut. (Híbrido),"R$ 184.732,00",32000,Gasolina,abril de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
267,Toyota,56,Hilux CD 4x4 2.8 Diesel Mec.,2241,32000 Diesel,32000-3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
270,Fiat,21,ARGO 1.0 6V Flex.,8315,32000 Gasolina,32000-1,001509-1,Fiat,ARGO 1.0 6V Flex.,"R$ 56.297,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
270,Fiat,21,Strada Endurance 1.4 Flex 8V CS Plus,9109,32000 Gasolina,32000-1,001526-1,Fiat,Strada Endurance 1.4 Flex 8V CS Plus,"R$ 72.555,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
270,GM - Chevrolet,23,ONIX HATCH 1.0 12V Flex 5p Mec.,8988,32000 Gasolina,32000-1,004519-5,GM - Chevrolet,ONIX HATCH 1.0 12V Flex 5p Mec.,"R$ 61.655,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
270,Hyundai,26,Creta Action 1.6 16V Flex Aut.,9113,32000 Gasolina,32000-1,015190-4,Hyundai,Creta Action 1.6 16V Flex Aut.,"R$ 88.305,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
270,JAC,177,iEV 40 115cv 5p. (Elétrico),8694,32000 Gasolina,32000-1,080022-8,JAC,iEV 40 115cv 5p. (Elétrico),"R$ 223.904,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
270,Toyota,56,Corolla Cross SE 1.8 16V Aut. (Híbrido),9324,32000 Gasolina,32000-1,002202-0,Toyota,Corolla Cross SE 1.8 16V Aut. (Híbrido),"R$ 188.023,00",32000,Gasolina,maio de 2021 ,"quarta-feira, 9 de outubro de 2024 12:39",1,G
